"# of Use","# Kullanımda"
"The product %s has been removed from comparison list.","%s adlı ürün karşılaştırma listesinden silindi."
"The product attribute has been deleted.","Ürün özelliği silindi."
"The product attribute has been saved.","Ürün özelliği kaydedildi."
"The product has been created.","Ürün oluşturuldu."
"The product has been deleted.","Ürün silindi."
"The product has been duplicated.","Ürün çoğaltıldı."
"The product has been saved.","Ürün kaydedildi."
"The product has required options","Ürün için belirlenmesi gereken seçenekler var"
"The review has been deleted","Yorum silindi"
"The review has been saved.","Yorum kaydedildi."
"The review was removed by another user or does not exist.","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı."
"The search was deleted.","Arama silindi."
"The text is too long","Yazı çok uzun"
"There are no customers for this alert.","Bu alarma bağlı müşteri yok."
"This Attribute no longer exists","Bu özellik kaydına ulaşılamıyor"
"This attribute cannot be deleted.","Bu özellik silinemedi."
"This attribute cannot be edited.","Bu özellik düzeltilemedi."
"This attribute cannot be updated.","Bu özellik güncellenemedi."
"This attribute set no longer exists.","Bu özellik seti kaydına ulaşılamıyor."
"This product no longer exists.","Bu ürün kaydına ulaşılamıyor."
"This search no longer exists.","Arama kaydına ulaşılamıyor."
"Time Format","Zaman Biçimi"
"To reindex the enabled product(s), the store or product must be specified.","Aktifleştirilen ürünleri yeniden indekslemek için ürün veya mağaza seçmelidiniz."
"Total of %d record(s) have been deleted.","Toplam %d kayıt silindi."
"Total of %d record(s) have been updated.","Toplam %d kayıt güncellendi."
"Unable to complete this request.","Bu istek tamamlanamadı."
"Unable to find a search term to delete.","Silinecek arama kelimesi bulunamadı."
"Unable to find an attribute to delete.","Silinecek özellik bulunamadı."
"Unable to get the product ID.","Ürün numarası alınamadı."
"Unknown EAV indexer type ""%s"".","Bilinmeyen EAV indeksleyici tipi ""%s""."
"Unknown attribute: %s.","Bilinmeyen özellik : %s."
"Unsupported product type ""%s"".","Desteklenmeyen ürün tipi ""%s""."
"Use Canonical Link Meta Tag For Categories","Kategoriler için sanal link meta etiketi kullan"
"Use Canonical Link Meta Tag For Products","Ürünler için sanal link meta etiketi kullan"
"Use Categories Path for Product URLs","Ürün adreslerinde kategorileri de kullan"
"Use Static URLs for Media Content in WYSIWYG for Catalog","WYSIWYG editöründe resimler için statik adresler kullan"
"Use for Promo Rule Conditions","Promosyon kurallarında kullan"
"Use four-digit year format.","4 haneli yıl biçimi kullanınız."
"Use in Advanced Search","Gelişmiş Aramada kullan"
"Use in Layered Navigation","Katmanlı gezinmede kullan"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Katmanlı gezinmede kullan <br/>(Sadece açılır seçenek kutusu şeklindeki girişlerde kullanılır)"
"Use in Quick Search","Hızlı Aramada Kullan"
"Used for Sorting in Product Listing","Ürün listesinde sıralama için kullan"
"Used in Product Listing","Ürün Listelemede Kullanıldı"
"Value for ""%s"" is invalid.","""%s"" değeri geçersiz."
"Value for ""%s"" is invalid: %s","""%s"" için hatalı değer: %s"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Sayfa başı X kayıt göster listesinde ""Hepsi"" seçeneğini de göster."
"Wrong BuyRequest instance in options group.","Seçenek grubunda hatalı satınalma isteği örneği."
"Wrong option instance type in options group.","Seçenek grubunda hatalı seçenek örnek tipi."
"Wrong product instance type in options group.","Seçenek grubunda hatalı ürün örnek tipi."
"Wrong quote item instance in options group.","Seçenek grubunda hatalı sepet satırı örneği."
"Wrong quote item option instance in options group.","Seçenek grubunda hatalı sepet satırı seçenek örneği."
"You cannot email this product to a friend.","Bu ürünü arkadaşınıza e-mail yoluyla gönderemezsiniz."
"You cannot send more than %d emails at a time.","Bir seferde %d taneden fazla mail gönderemezsiniz."
"You have exceeded limit of %d sends in an hour.","Saatte %d adet gönderim limitini aştınız."
"You have to specify at least one recipient.","En az bir alıcı belirlemelisiniz."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An invalid group ID is specified, skipping the record.","Hatalı grup numarası, kayıt atlanıyor."
"Bundle Items","Paket Ürünler"
"Buy %1$s with %2$s discount each","%1$s ile %2$s alırsanız, her biri için indirim alırsınız"
"Cancel","İptal"
"Configure Product","Ürünü Ayarla"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Maximum allowed image size for '%s' is %sx%s px.","'%s', izin verilen resim dosyası boyutlarından büyük. %sx%s px."
"OK","Tamam"
"Please wait...","Lütfen bekleyiniz..."
"Product ID","Ürün No"
"Product is not loaded","Ürün yüklenemedi"
"Product name","Ürün adı"
"SKU length should be %s characters maximum.","SKU verisi uzunluğu en fazla %s karakter olabilir."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","İşlenen bazı ürünlerinde SKU değeri bulunamadı. Bu ürünlerle ilgili işlemi tamamlamak için verileri giriniz."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Aşağıdaki ürünlerden bazıları gereken seçeneklere sahip değil. Lütfen sorunlu olan ürünleri yeniden ekleyerek düzeltiniz."
"The base directory to upload file is not specified.","Yüklenecek dosyalar için ana klasör seçimi yapılmamış."
"The file '%s' for '%s' has an invalid extension","'%s' - '%s' dosyasının uzantısı kabul edilmeyen bir uzantıya sahip"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","'%s' dosyası izin verilen en büyük dosya boyutundan ( %s Megabayt ) daha büyük."
"The file you uploaded is larger than %s Megabytes allowed by server","Yüklemek istediğiniz dosya izin verilen en büyük dosya boyutundan ( %s Megabayt ) daha büyük."
"There was an error while request processing.","İstek işlenirken sorun oluştu."
"Use config","Ayarı kullan"
"Wrong configuration item instance in options group.","Seçenek grubu hatalı ayar örneğine sahip."
"Wrong configuration item option instance in options group.","Seçenek grubu hatalı seçeneğe sahip."
"Wrong product type to extract configurable options.","Ayarlanabilir ürün seçeneklerini almak için yanlış ürün."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s adlı dosya kopyalanamadı. Varolmayan dosyaları içeren medyayı silip tekrar deneyiniz."
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Dikkat!</strong> Varsayılan eşleşmeyi uygularsanız müşteri tarafındaki tüm fiyatlar görünmez hale gelecektir."
"Actual Price","Şimdiki Fiyat"
"An error occurred while saving the URL rewrite","Adres Yeniden Yazımı kaydedilirken sorun oluştu"
"Apply MAP (Default Value)","Eşlemeyi Uygula (Varsayılan Değer)"
"Before Order Confirmation","Sipariş Onayından Önce"
"Buy %1$s","%1$s Al"
"Buy %1$s for","%1$s Al"
"Category move operation is not possible: parent category is equal to child category.","Kategori taşıma işlemi yapılamıyor : üst kategori ile alt kategori aynı."
"Category move operation is not possible: the current category was not found.","Kategori taşıma işlemi yapılamıyor : mevcut kategori bulunamadı."
"Click for price","Fiyat için tıklayınız"
"Default ""What's This"" Text Message","Default ""Bu Nedir"" Yazılı Mesajı"
"Default Popup Text Message","Varsayılan Açılır Pencere Mesajı"
"Display Actual Price","Varolan Fiyatları Göster"
"Enable MAP","Eşlemeyi Aç"
"In Cart","Sepette"
"Minimum Advertised Price","Açıklanan En Düşük Fiyat"
"On Gesture","Hareket anında"
"Scope must not be changed, because the attribute is used in configurable products.","Havuzu değiştirmemelisiniz, çünkü bu özellik ayarlanabilir ürünlerde kullanıldı."
"See price before order confirmation.","Sipariş onayından önce fiyata bak."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Düz Katalog modülü filtrelenebilir ve/veya sıralanabilir özellikler konusunda %2$d limitine sahiptir. Mevcut değer : %1$d. Bu modülü kullanabilmek için bu değeri düşürmeyi deneyiniz."
"The model collection resource name is not defined.","Model koleksiyonu kaynak adı belirtilmedi."
"This attribute is used in configurable products.","Bu özellik ayarlanabilir ürünlerde kullanıldı."
"To reindex the enabled product(s), the store or product must be specified","Açık olan ürünleri yeniden indekslemek için, mağaza veya ürün seçmelisiniz"
"To see product price, add this item to your cart. You can always remove it later.","Ürünümn fiyatını görmek için sepetinize ekleyiniz. İstediğiniz zaman sepetinizden bu ürünü çıkarabilirsiniz."
"What's this?","Bu nedir?"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add","Ekle"
"Add attribute into attribute set","Özellik setine özellik ekle"
"Add group into attribute set","Özellik setine özellik grubu ekle"
"Add new custom option into product","Ürüne özel seçenek ekle"
"Add new values into custom option","Özel seçeneklere değer ekle"
"Add option","Seçenek Ekle"
"An error occurred while deleting this review.","Yorum silinirken sorun oluştu."
"An error occurred while saving this review.","Yorum kaydedilirken sorun oluştu."
"Attribute Sets","Özellik Setleri"
"Attribute add","Özellik Ekle"
"Attribute remove","Özellik Sil"
"Catalog product custom option values API","Ürün Özel Seçenek Değerleri APIsi"
"Catalog product custom options API","Ürün Özel Seçenekleri APIsi"
"Create Permanent Redirect for URLs if URL Key Changed","URL değişince eski URL için kalıcı yönlendirme yap"
"Create attribute set based on another set","Başka bir özellik setinden yeni bir özellik seti oluştur"
"Create new attribute","Yeni özellik oluştur"
"Custom options","Özel Seçenekler"
"Delete attribute","Özellik Sil"
"Get full information about attribute with list of options","Özellik hakkında seçenekleri dahil olmak üzere bilgi al"
"Get full information about custom option in product","Üründeki özel seçenekle ilgili bilgi al"
"Get list of available custom option types","Kullanılabilir özel seçenek tiplarini listele"
"Get list of non-default attributes by product type and attributes set","Varsayılan olmayan özelliklerin ( ürüne göre ) ve özellik setlerini listele"
"Get list of possible attribute types","Kullanılabilir özellik tiplerini listele"
"Group add","Grup Ekle"
"Group remove","Grup Sil"
"Info","Bilgi"
"List of types","Tipleri listele"
"Option values","Seçenek değerleri"
"Qty for Item\'s Status to Become Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken adet"
"Remove attribute from attribute set","Özellik setinden özellik sil"
"Remove attribute set","Özellik setini sil"
"Remove custom option","Özel seçeneği sil"
"Remove group from attribute set","Özellik setinden özellik grubu sil"
"Remove option","Seçenek sil"
"Remove value from custom option","Özel seçenekten değer sil"
"Rename existing group","Varolan grubun adını değiştir"
"Rename group","Grubun adını değiştir"
"Retrieve list of option values","Seçenek değerlerini listele"
"Retrieve list of product custom options","Ürün özel seçeneklerini listele"
"Retrieve option value info","Seçenek değeri bilgisini al"
"Total Qty Content Items","Toplam Adet İçerik Maddeleri"
"Update attribute","Özelliği güncele"
"Update custom option of product","Ürünün özel seçeneklerini güncelle"
"Update value of custom option","Özel seçeneğin değerini güncelle"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.2.0 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Delete Tier","Fiyat Kanalını Sil"
"--------------- v 1.6.2.0 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s and above","%s ve üstü"
"Add Group Price","Grup Fiyatı Ekle"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Özellik kodu hatalı. Lütfen bu alanda sadece harfler (a-z), rakamlar (0-9) veya alt çizgi (_) kullanınız, ilk karakter sadece harf olabilir."
"Delete Group Price","Grup Fiyatını Sil"
"Duplicate website group price customer group.","Websitesi grup fiyatı için müşteri grubunu çoğalt."
"For the last time placed.","Son eklendiğinde."
"Maximum Number of Price Intervals","İzin verilen en fazla Fiyat aralıkları adedi"
"Maximum number of price intervals is 100","İzin verilen en fazla Fiyat aralıkları adedi 100 dür"
"Number of results","Sonuç sayısı"
"Number of results (For the last time placed)","Sonuç sayısı (Son eklendiğinde)"
"Total of %d record(s) were updated","Toplam %d kayıt güncellendi"
"Will make search for the query above return results for this search.","Yukarıdaki arama sorgusunun içinde arama yapılacak."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Can be Divided into Multiple Boxes for Shipping","Teslimat için 1 den fazla kutuya bölünebilir"
"Clear Price","Net Fiyat"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"Display Product Count","Ürün Sayısını Göster"
"Interval Division Limit","Aralık Bölünme Limiti"
"Please specify the number of products, that will not be divided into subintervals.","En küçük bölünme limiti için ürün sayısını belirtiniz."
"This setting will be applied when all prices in the specific price interval are equal.","Bu ayar, belirli bir fiyat aralığında fiyatların eşit olması durumunda uygulanacak."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"All products","All products"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"Category move error %s","Category move error %s"
"Display Page Control","Display Page Control"
"Display Type","Display Type"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"New products","New products"
"Number of Products per Page","Number of Products per Page"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","The attribute code \'%s\' is reserved by system. Please try another attribute code"
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
